Name,Address,Category,Description
"Steamoji (Robotics)","555 Strathcona Blvd SW, Calgary, AB","STEM & Tech","Build a real robot using VEX kits with block-based coding. Ages 6-8. $499/week. Also available at Calgary North location. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-Steamoji.md"
"Steamoji (Game Design)","555 Strathcona Blvd SW, Calgary, AB","Arts & Design","Design your own board or card game -- draw characters, invent the rules, play with friends. Ages 5+. $399/week. Also at Calgary North. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-Steamoji.md"
"Steamoji (Medieval Eng)","555 Strathcona Blvd SW, Calgary, AB","STEM & Tech","Build castles and a catapult -- structural engineering and problem-solving. Ages 5+. $399/week. Also at Calgary North. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-Steamoji.md"
"Steamoji (Digital Story)","555 Strathcona Blvd SW, Calgary, AB","Arts & Design","Make a digital story with crafted props using Scratch Jr. Art + coding + making. Ages 5+. $399/week. Also at Calgary North. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-Steamoji.md"
"Steamoji (Robot City)","555 Strathcona Blvd SW, Calgary, AB","STEM & Tech","Build a city of lights and moving bots. Electronics and team design. Ages 5+. $399/week. Also at Calgary North. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-Steamoji.md"
"Steamoji North (extra dates)","2060 Symons Valley Pkwy NW, Calgary, AB","STEM & Tech","Same programs as Steamoji West (Robotics, Game Design, Medieval, Digital Story, Robot City) with additional date options. ~25-30 min from home. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-Steamoji.md"
"SAIT (Acting)","1301 16 Ave NW, Calgary, AB","Arts & Design","Act out characters and bring stories to life on stage. Confidence-building drama games. Grades 2-3. $400/week. Free before/after care. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-SAIT.md"
"SAIT (Crafty Science)","1301 16 Ave NW, Calgary, AB","Science","Mix art and science -- experiments with colours and materials. Grades 2-3. $400/week. Free before/after care. Currently waitlisted. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-SAIT.md"
"SAIT (Coding)","1301 16 Ave NW, Calgary, AB","STEM & Tech","Learn to code by making games and interactive projects. No experience needed. Grades 2-3. $400/week. Free before/after care. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-SAIT.md"
"SAIT (Outdoor)","1301 16 Ave NW, Calgary, AB","Outdoor & Nature","Explore parks and outdoor challenges -- nature and teamwork activities offsite. Grades 2-3. $400/week. Free before/after care. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-SAIT.md"
"SAIT (SciSpy)","1301 16 Ave NW, Calgary, AB","Science","Solve mysteries using science -- decode clues and run experiments like a detective. Grades 2-3. $400/week. Free before/after care. Currently waitlisted. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-SAIT.md"
"SAIT (STEAM Eng)","1301 16 Ave NW, Calgary, AB","STEM & Tech","Design, build, and invent across science, tech, art, and math challenges. Grades 2-3. $400/week. Free before/after care. Currently waitlisted. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-SAIT.md"
"UCalgary (Nature Treks)","2500 University Dr NW, Calgary, AB","Outdoor & Nature","Daily outdoor exploring -- bugs, hikes, zoo visit, Bowness Park day trip, pool time. Includes swimming. Grades 1-2. $370/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Climbing)","2500 University Dr NW, Calgary, AB","Sports","Indoor climbing gym + outdoor adventure park + swimming every day. No experience needed. Grades 2-3. $400/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (LEGO Build)","2500 University Dr NW, Calgary, AB","STEM & Tech","Build giant LEGO cities, bridges, and vehicles as a team. Includes pool time. Grades 2-3. $370/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Outdoor Sports)","2500 University Dr NW, Calgary, AB","Sports","A different sport every day -- soccer, kickball, frisbee, cricket, pool games. Grades 2-3. $370/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (GeoVenture)","2500 University Dr NW, Calgary, AB","Science","Google Earth and GIS tools + outdoor geocaching to explore geography and natural systems. Grades 2-4. $370/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (LEGO Film)","2500 University Dr NW, Calgary, AB","Arts & Design","Write, film, and edit your own LEGO stop-motion movie -- ends with a mini film festival. Grades 2-4. $425/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Early Tech)","2500 University Dr NW, Calgary, AB","STEM & Tech","Build circuits and program a robot using colours -- no typing needed. Intro to electronics. Grades 1-2. $296/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Dinos Soccer)","2500 University Dr NW, Calgary, AB","Sports","Girls-only soccer -- drills, games, and scrimmage coached by UCalgary Dinos athletes. Girls Grades 2-3. ~$300/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Track & Field)","2500 University Dr NW, Calgary, AB","Sports","Run, jump, and throw events -- mini track meet at end of week. Note: ends 3:15pm (15 min before cutoff). Grades 2-5. $425/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Architecture)","801 7 Ave SW, Calgary, AB","Arts & Design","Design and build model buildings inspired by real Calgary architecture. Led by UCalgary students. Grades 2-4. ~$370/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (City Building)","801 7 Ave SW, Calgary, AB","Arts & Design","Use downtown Calgary streets to design a city -- mapping, models, and urban planning. Grades 2-4. ~$370/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Landscape)","801 7 Ave SW, Calgary, AB","Arts & Design","Design parks and outdoor spaces with real materials -- sticks, soil, stones. Sustainable design. Grades 2-4. ~$370/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"UCalgary (Gymnastics)","Spray Lake Sawmills Family Sport Centre, Cochrane, AB","Sports","Recreational gymnastics with fun weekly themes -- circus tricks, wizards, beach week. ~40 min from home. Ages 6-13. https://github.com/brianlow/summer-camps-2026/blob/main/CAMPS-UofC.md"
"Alien In-Line (Skating)","Triwood Community Association, Calgary, AB","Sports","Learn to inline skate from scratch -- all safety gear provided. NW Calgary locations, ~10-25 min from home. Location varies by week (Triwood, Montgomery, Huntington Hills, Edgemont). Ages 6-8. $425/week. https://github.com/brianlow/summer-camps-2026/blob/main/CAMP-AlienInLine.md"
"Chinook Music (Magic of Music)","1101 48 Ave NW, Calgary, AB","Arts & Design","Singing, dancing, rhythm games, crafts, acting, and dress-up -- all music-themed. No instruments. Ages 5-6. $375/week. Before/after care available. ~15 min from home. https://github.com/brianlow/summer-camps-2026/blob/main/CAMP-ChinookMusic.md"
"Heritage Park (Prairie Explorers)","1900 Heritage Dr SW, Calgary, AB","Outdoor & Nature","Explore a historical village -- bannock-making, fur trading, Indigenous traditions, pioneer crafts. Ages 6-9. $325/week. ~20-25 min from home. https://github.com/brianlow/summer-camps-2026/blob/main/CAMP-HeritagePark.md"
"Rundle (Creative Arts)","7615 17 Ave SW, Calgary, AB","Arts & Design","AM crafts and visual art + PM theatre or other combo. Hands-on creative projects and drama. Grades 1-3. $340-420/week. ~20-25 min from home. https://github.com/brianlow/summer-camps-2026/blob/main/CAMP-RundleCollege.md"
